연번,시설명,주소
139,매실보육원,부산시 부산진구 동평로116번길 36 
140,새들원,부산시 동래구 금정마을로 83 온천동
141,우리집원,부산시 동래구 우장춘로 192-1 온천동
142,새빛기독보육원,부산시 남구 신선로452 
143,은혜의집,부산시 해운대구 해운대로295번길16 
144,박애원,부산시 해운대구 해운대로 469번길 76
145,애아원,부산시 사하구 감천로43번길 45-1 애아원
146,남광아동복지원,"부산시 금정구 중앙대로 2349번길 3  노포동, 남광아동복지원"
147,동성원,부산시 금정구 두실로7번길 63 구서동
148,성애원,부산시 금정구 금샘로41 장전동
149,희락원,부산시 금정구 노포사송로 169 희락원
150,소양무지개동산,부산시 강서구 동선길 369 소양무지개동산
151,동산원,부산시 수영구 광일로 29번길 42 동산원
152,부산광역시아동일시보호소,부산시 동래구 금정마을로 83 온천동
153,새롬아동센터,부산시 동래구 금정마을로 93 온천동
154,미네르바의집,부산시 북구 시랑로114번길 45 C동
155,한몸,대구시 중구 국채보상로 149길 501호
156,성바오로 청소년의 집,경북 군위군  가호1길 118-22 성바오로 청소년의 집
157,예빛그룹홈,대구시 수성구 지범로31길 11-8 2층
158,성림아동원,대구시 수성구 성동로74-16 성림아동원
159,봄의집,대구시 수성구 들안로 16길 22 
160,드림나래,대구시 수성구 파동로51길 74 
161,대구신망애원,대구시 수성구 희망로 121 
162,SOS아동보호센터,대구시 수성구 무열로 171 
163,늘사랑청소년센터,대구시 수성구 국채보상로 906 2층
164,신애보육원,대구시 서구 북비산로33길9-2 전동
165,사랑의울타리,대구시 북구 학정로48길 32-3 2층
166,소망의울타리,대구시 북구 학남로17길20-39 3층
167,새볕원,대구시 북구 영송로 36-6 A동
168,천광원,대구시 북구 동북로 57 산격동
169,희망의집,대구시 북구 대불서길5 (산격동)
170,대구SOS어린이마을,대구시 동구 해동로 219 
171,애생보육원,대구시 동구 방촌로 69 
172,육영학사,대구시 동구 신평로 57 
173,베다니농원,대구시 동구 율하동로28길 8 
174,신생원,대구시 동구 금강로 105 0
175,검사SOS자립생활관,대구시 동구 방촌로1길 9 검사동913-13
176,삼덕SOS자립생활관,대구시 중구 공평로 4길10 사무실
177,우리들세상남학생,대구시 달서구 월배로199-18 1층
178,우리들세상여학생,대구시 달서구 월배로199-18 2층
179,에덴그룹홈,대구시 남구 현충로 26길 3층
180,해맑은아이들의집,대구시 남구 안지랑로11길 83 501호
181,해맑은친구들의집,대구시 남구 안지랑로 60-1 302호
182,참좋은우리집,대구시 남구 중앙대로126  광명전5층
183,등불의집,대구시 남구 두류공원로12길 25-62 
184,대구아동복지센터,대구시 남구 대덕로 193 없음
185,호동원,대구시 남구 희망로5길 19 호동원
186,에덴원,대구시 남구 효서길8 
187,영생애육원,대구시 남구  대명로 156 영생애육원
188,너랑나랑의집,인천 중구 참외전로 84 너랑나랑의집
189,세리아,인천 중구 영종순환로 169번길 64-1 
190,미추홀구신나는그룹홈,인천 미추홀구 학익소로61번길 132 25동 101호
191,스위트홈,인천 미추홀구 인주대로 326-1 
192,다올의집,인천 미추홀구 인주대로35번길 12-16 201호
193,해피드림,인천 연수구 함박뫼로123 101동 101호
194,남동아동그룹홈,인천 남동구 독곡로16번길 22-7 401호
195,희망아동그룹홈,"인천 남동구 석산로208번길 27-19 1층, 2층"
196,시정의집,인천 부평구 마장로269번길 91-61 2층
197,엘피스,인천 부평구 부흥로386번길 35 1층
198,인천계양아동청소년그룹홈,인천 계양구 아나지로 199 효성뉴서울 505동802호
199,행복한집공동생활가정,인천 서구 완정로208 104동 104호
200,꿈이있는집,인천 서구 검단로622 105동 107호
201,SY엔터테인먼트,인천 서구 완정로34번길47 110동710호
202,예람공동생활가정,인천 서구 고산후로161번길28 2층
203,아너클래스공동생활가정,인천 서구 완정로34번길47 101동502호
204,프렌즈,인천 서구 검단로836 월드아파트 101동 204호
205,온유,인천 서구 서곶로12 힌신그랜드힐빌리지24동505호
206,디차힐,인천 주구 마장포로 29번길 4 
207,보라매보육원,인천 동구 화도진로 126 
208,인천보육원,인천 미추홀구 매소홀로 446번길 50 
209,해성보육원,인천 미추홀구 인하로 91번길 15 
210,향진원,인천 미추홀구 석정로329번길32 
211,신명보육원,인천 부평구 경인로 749 
212,해피홈보육원,인천 부평구 경인로 898 해피홈보육원
213,파인트리홈,인천 부평구 일신로 29 -
214,계명원,인천 강화군 양도면 강화남로 518번길 6-41
215,인천보라매아동센터,인천 중구 백운로 528길 57 운북동
216,남동구 아동복지종합센터,"인천 남동구 용천로 208 2층, 201호"
217,푸른마을아동복지종합센터,인천 미추홀구 매소홀로 446번길 50 
218,솔샘나우리아동복지종합센터,인천 미추홀구 인하로 91번길 15 
219,누리마루아동복지종합센터,인천 미추홀구 석정로 329번길 32 
220,인천광역시 아동복지관,인천  중구   참외전로 246  인천축구전용경기장 내
221,계명수련원,인천 강화군 양도면 강화남로 518번길 6-41
222,사무엘,광주광역시 동구 필문대로171번길 27-7 산수동
223,로뎀의집,광주광역시 동구 무등로451 산수동
224,꿈그린공동생활가정,광주광역시 동구 화산로350번길 18 용산동
225,밝은그룹홈,광주광역시 동구 무등로374 계림동
226,벧엘의집공동생활가정,광주광역시 동구 밤실로 150 산수동
227,성빈에스더집그룹홈,광주광역시 동구 필문대로 106번길 4401호 계림동
228,열린공동생활가정,광주광역시 동구 필문대로 12-7 금호아파트 계림동
229,로뎀나무그룹홈,광주광역시 서구 운천로56번길 7 103동 103호
230,돈보스코나눔의집,광주광역시 서구 세동1길 44 (세하동)
231,세움그룹홈,광주광역시 서구 화운로 37 102동 202호
232,도담그룹홈,광주광역시 서구 운천로 61 104동 104호
233,희망넝쿨,광주광역시 남구 서문대로 760 101동 106호(주월동)
234,누리봄그룹홈,광주광역시 남구 봉선2로 96-14 202동 804호(봉선동)
235,꿈사랑,광주광역시 남구 효우2로90 605동 1004호(행암동)
236,혜성공동생활가정,광주광역시 남구 금화로 449-1 (월산동)
237,레인보우그룹홈,"광주광역시 북구 유림로175 102동101호(삼익아파트, 동림동)"
238,샬롬공동생활가정,광주광역시 북구 삼정로 108 101동 103호
239,빛천사공동생활가정,광주광역시 북구 유림로 175 107동 304호
240,해맑은그룹홈,광주광역시 북구 양산신촌길29번길6 1층
241,참빛지역아동그룹홈,광주광역시 북구 서강로 79-18 1층
242,성빈민들레집그룹홈,광주광역시 북구 중흥로173번길 8-7 A동301호
243,오아시스그룹홈,광주광역시 북구 동운로 141 101동 1층
244,우람사나래그룹홈,"광주광역시 북구 설죽로196번길 22 1동 108호(용봉동, 1층)"
245,함세아그룹홈,광주광역시 북구 서암대로199 101동103호
246,참사랑그룹홈,광주광역시 북구 양지길12-4 1층
247,알바트로스그룹홈,광주광역시 북구 동림용산로12-7 3층(동림동)
248,푸른숲,"광주광역시 북구 반룡로 58  203호(유창하이리빙 2차, 용봉동)"
249,성빈무지개집그룹홈,광주광역시 북구 군왕로119번지 1동 101호
250,길상원그룹홈,"광주광역시 광산구 사암로271  105동 1003호(월곡동, 일신아파트)"
251,애자람그룹홈,"광주광역시 광산구 송도로320번길 16-15 203동 303호(송정동, 명지아파트)"
252,나래울그룹홈,광주광역시 광산구 월곡중앙로34번길 20 1층(월곡동)
253,꿈자람그룹홈,"광주광역시 광산구 소촌로152번길 11 304동 103호(소촌동, 스위트밸리아파트)"
254,늘빛그룹홈,"광주광역시 광산구 풍영로294-8 106동 103호(장덕동, 고실마을부영사랑으로)"
255,한울그룹홈,"광주광역시 광산구 수등로 280 104동 101호(신가동, 호반리젠시빌)"
256,광주성빈여사,광주광역시 동구 백서로149 남동
257,광주일맥원,광주광역시 동구 지호로 73 지산동
258,무등육아원,광주광역시 동구 의재로 95 운림동
259,광주영신원,광주광역시 동구 화산로 237-5 용산동
260,노틀담형제의집,광주광역시 남구 오방로 4-1 (봉선동)
261,신애원,광주광역시 남구 송암로 132 (송하동)
262,광주애육원,광주광역시 북구 북문대로 242번 40 광주애육원
263,광주돈보스코나눔의집(신안동),광주광역시 북구 자미로 42 돈보스코나눔의집
264,용진육아원,광주광역시 광산구 복영길 24-19 (임곡동)
265,광주나자렛집,광주광역시 광산구 비아안길45-14 (비아동)
266,광주영아일시보호소,광주광역시 동구 지원로26 외 소태동
267,민들레일시보호소,광주광역시 동구 밤실로4번안길  지산동
268,무등자립생활관,광주광역시 동구 의재로 95 운림동
269,동명아동상담센터,광주광역시 남구 송암로 132 (송하동)
270,용진수련원,광주광역시 광산구 복영길 24-19 (임곡동)
271,참좋은집,대전광역시 동구 성동로 74 102동 201호
272,소망의집,대전광역시 동구 계족로 409번길 33 302호
273,신흥마을의집,대전광역시 동구 계족로450번길 35 301호
